Christian Viel,Deaden (2006),Evil Breed: The Legend of Samhain (2003),Power Corps. (2004),Recon 2022: The Mezzo Incident (2007),Recon 2023: The Gauda Prime Conspiracy (2009)
Anne Depétrini,Il reste du jambon? (2010)
Luc Dardenne,Chacun son cinéma ou Ce petit coup au coeur quand la lumière s'éteint et que le film commence (2007),L'enfant (2005),Le fils (2002),Le gamin au vélo (2011),Le silence de Lorna (2008)
Kern Saxton,Sushi Girl (2012)
Tsutomu Hanabusa,Hansamu sûtsu (2008),Kôkô debyû (2011),Sadako 3D (2012),Sadako 3D 2 (2013)
Michael J. (I) Epstein,Ten (2014)
Sean (I) Carr,He's Such a Girl (2009)
Maria Speth,In den Tag hinein (2001),Madonnen (2007)
Mike Viney,Dale (2007)
Derik Wingo,Coffin (2011)
Keith Fulton,Brothers of the Head (2005),Lost in La Mancha (2002)
Viktor Sergeev,Shizofreniya (2001),Banditskiy Peterburg: Krakh Antibiotika (2001)
John (I) Dahl,Joy Ride (2001),The Great Raid (2005),You Kill Me (2007)
Kevin (X) McMahon,Life in a Day (2011)
Jari Halonen,Aleksis Kiven elämä (2001),Kalevala - uusi aika (2013)
Manabu Asô,Chakushin ari final (2006),Koi suru nichiyobi (2006)
Samuthirakani ,Naadodigal (2009),Nimirndhu Nil (2014),Sambo Siva Sambho (2010)
Ounie Lecomte,Yeo-haeng-ja (2009)
Margarida (II) Cardoso,A Costa dos Murmúrios (2004)
Brea (I) Grant,Best Friends Forever (2013/I)
Chris (I) Rye,For Liberty: How the Ron Paul Revolution Watered the Withered Tree of Liberty (2009)
Shahid Khader,Chennaiyil Oru Naal (2013)
Sanamjit Singh Talwar,Dishkiyaoon (2014)
Catharina Deus,Die Boxerin (2004)
Damani Baker,Still Bill (2009)
Karim Hussain,Ascension (2002/I),La belle bête (2006),La dernière voix (2002),The Theatre Bizarre (2011)
Miko Lazic,Iskariot (2008),Made in YU (2005)
Lorene Scafaria,Seeking a Friend for the End of the World (2012)
Yukio Okazaki,Jigoku shôjo (2005),Tenchi Muyô! GXP (2002)
Sean McGinly,The Great Buck Howard (2008),Two Days (2003)
Rodrigo (I) García,Albert Nobbs (2011),Celia (2012),Last Days in the Desert (2015),Mother and Child (2009),Nine Lives (2005),Passengers (2008),Revolución (2010),Serena (2012),Ten Tiny Love Stories (2002)
Takahiro Majima,Accel World (2012),JoJo no kimyô-na bôken (2012)
Rodrigo (I) Moreno,El custodio (2006),El descanso (2002)
Robert (I) Cappelletto,Pickman's Muse (2010)
Tim Baldini,Vampire Killers (2008)
Alek Keshishian,Love and Other Disasters (2006)
Eusebio Pastrana,Spinnin' (2007)
Rick (II) Jordan,The Remnant (2001)
Julien Eger,Le baiser (2007/I)
Artie (I) Mandelberg,Bending the Rules (2012),Inside Out (2011/I)
Sarah Remetch,Suicide Girls Must Die! (2010)
Anthony (II) Hemingway,Red Tails (2012)
Leanne Pooley,Beyond the Edge (2013),The Topp Twins: Untouchable Girls (2009)
Tanya (I) Hamilton,Night Catches Us (2010)
Adam (VI) Hall,Sudden Death! (2010)
Gary McKendry,Killer Elite (2011)
Abbas Alibhai Burmawalla,36 China Town (2006),Aitraaz (2004),Ajnabee (2001),Chori Chori Chupke Chupke (2001),Humraaz (2002),Naqaab (2007),Players (2012),Race (2008/I),Race 2 (2013),Taarzan: The Wonder Car (2004)
Shaky González,Det grå guld (2013),One Hell of a Christmas (2002),Pistoleros (2007)
Scott S. Anderson,The Best Two Years (2004),The Jerk Theory (2009)
Jessica Kavana Dornbusch,Thanks to Gravity (2006)
Sergey (I) Bondarchuk,Quiet Flows the Don (2006),Tikhiy Don (2006)
Josef Fares,Farsan (2010),Kopps (2003),Leo (2007/I),Zozo (2005)
Éva Gárdos,An American Rhapsody (2001),Magic Boys (2012)
Chiaki Kon,Golden Time! (2013),Junjou Romantica (2008),Midori no hibi (2004),Sekaiichi hatsukoi (2011)
Dylan Pearce,Baby Blues (2008/I),I Think I Do (2013)
Matty Beckerman,Alien Abduction (2014)
